 SHELL, 100, 0.0009982585906982422
 KNUTH, 100, 0.0009975433349609375
 CIURA, 100, 0.0009992122650146484
 SHELL, 1000, 0.02500009536743164
 KNUTH, 1000, 0.015000581741333008
 CIURA, 1000, 0.011000871658325195
 SHELL, 10000, 0.3423600196838379
 KNUTH, 10000, 0.07249927520751953
 CIURA, 10000, 0.06146574020385742
 SHELL, 100000, 6.69679594039917
 KNUTH, 100000, 1.2049996852874756
 CIURA, 100000, 0.9168109893798828
 SHELL, 1000000, 217.43287110328674
 KNUTH, 1000000, 26.092637538909912
 CIURA, 1000000, 14.02332353591919
